First,Last,Height,Weight,Score
Benson,Prosper,5-11,185,0.8500
Jonah,Reeder,6-2,290,0.8200
Samuel,Robles,6-3,270,0.7900
Jaden,Roper,6-4,315,0.8600
Armoni,Rue,5-11,175,0.7900
Al,Sandifer,6-0,267,0.7800
Cameron,Schultz,6-4,280,0.8283
Jordan,Scott,6-7,215,0.8708
Leivi,Semaia,6-4,320,0.7900
Joshua,Shanklin,6-4,220,0.8567
Jayden,Sheppard,6-2,181,0.8500
Jakheem,Shumpert-Perkins,6-5,325,0.8697
Elijah,Simmons,6-2,280,0.8100
Bryce,Simpson,6-6,315,0.8600
Zac,Siulepa,6-7,365,0.8567
Neil,Sledge,6-6,315,0.8300
Marzeal,Smith,6-1,200,0.7800
Lorenzo,Smith,6-0,190,0.8544
Donnie,Smith,6-4,220,0.8633
Sherrod,Smith,6-1,190,0.8600
Bryen,Spaulding,6-4,255,0.7800
La'Modrick,Spencer,6-1,175,0.8583
Ja'Bryis,Stewart,6-3,200,0.8703
Chace,Stratford,6-4,300,0.8200
Lucas,Struck,6-1,200,0.7800
Patrick,Tackie,6-4,295,0.8700
Doughless,Teloma,6-5,350,0.8500
Ja'Cory,Thomas,6-3,195,0.7900
Keshawn,Thomas,6-2,220,0.8500
Jabari,Tiller,6-0,190,0.7944
Cam,Todd,6-2,305,0.8250
Breyahn,Townsend,6-0,190,0.8306
Roscoe,Tucker,6-5,325,0.8200
Jalil,Tucker,6-0,180,0.8731
Marco,Tyson,6-0,182,0.7900
Siale,Uluave,6-5,350,0.8200
AJ,Vinson,6-6,305,0.8233
Khalil,Walker,6-5,310,0.8600
Daveon,Walker,6-2,180,0.8600
Kedrick,Walker,6-3,225,0.8400
Roger,Walters,5-10,180,0.8550
Luke,Weaver,6-3,205,0.8200
Jaylen,Webb,6-2,190,0.8711
Xavier,Werrell,6-7,295,0.8304
Darion,White,6-2,220,0.7900
La'Damion,Williams,6-2,305,0.7900
Mickel,Williams,6-5,265,0.8511
Jesse,Wilson,6-3,305,0.8844
Dominic,Wiseman,6-1,300,0.8100
Devarrick,Woods,6-3,290,0.8400
Kalen,Woods,6-3,170,0.8000
