First,Last,Height,Weight,Score
Jaylen,Martin,6-1,180,0.8100
Davon,Martin,6-0,185,0.8300
Darius,McClendon,6-1,168,0.8144
A'Marion,McCoy,6-1,170,0.8100
A’marion,McCoy,6-1,170,0.8453
Tyrik,McDaniel,6-1,200,0.8631
Myles,McKatherine,6-3,210,0.8250
Ques,McNeal,5-11,185,0.8094
Noah,McNeal-Franklin,6-1,215,0.8163
Dupre,Mendoza,6-4,325,0.8500
Izavion,Miller,6-5,320,0.8886
Duke,Miller,6-1,170,0.8400
Judea,Milon,6-4,290,0.8267
Amin,Mimouni,6-5,255,0.8000
Lysander,Moeolo,6-5,330,0.8486
Oscar,Moore,6-1,208,0.8300
Marcus,Moore,6-1,295,0.8600
Ja'Maric,Morris,6-2,205,0.8756
Chris,Morris,6-4,290,0.8681
Cliff,Mosley,6-2,310,0.8350
Alex,Murrell,6-3,200,0.8200
Alex,Navarro-Silva,6-5,290,0.8400
Reginald,Neely,6-0,175,0.8800
Jalen,Nettles,6-4,300,0.8200
Triston,Newson,6-2,210,0.8672
Ugo,Nosike,6-3,255,0.8250
Elijah,O'Neal,6-4,245,0.8558
Iman,Oates,6-3,305,0.8544
Chinazo,Obobi,6-5,310,0.8000
Daniel,Ogundipe,6-5,285,0.8819
Ben,Osueke,6-0,180,0.8204
Kaleb,Patterson,6-2,186,0.8672
Tank,Pearson,5-9,175,0.8400
Freddie,Pelling,6-8,305,0.8000
Omar,Pew,5-11,290,0.8000
Elijah,Philippe,6-7,300,0.8608
Jeffery,Pittman,5-11,200,0.8642
Tavarius,Pitts,6-3,250,0.8137
Esa,Pole,6-7,320,0.8656
Ethan,Powell,6-5,215,0.8400
Hayden,Pulis,6-5,275,0.8206
J'Onre,Reed,6-3,320,0.8511
Jake,Retzlaff,6-2,200,0.8556
Isiah,Revis,5-10,195,0.7983
Christopher,Rhodes,6-0,185,0.8400
Lonnie,Rice,6-0,220,0.8617
Lantz,Russell,6-3,220,0.8200
Qua,Sanders,6-2,200,0.8250
Shamar,Sandgren,6-2,180,0.8500
Andrew,Schnackenberg,6-5,230,0.7956
Dezmond,Schuster,6-5,311,0.8617
Kyle,Scott,6-5,320,0.8600
Jakobie,Seabourn,6-3,205,0.8500
Jakobie,Seabourn,6-3,205,0.8500
DT,Sheffield,5-9,165,0.8639
George,Silva,6-7,295,0.9003
Ja'Len,Sims,6-2,217,0.8152
Justin,Sinclair,5-11,190,0.8550
Devon,Smith,6-5,270,0.8100
Joshua,Smith,6-2,230,0.8100
Tavion,Smith,6-3,210,0.8115
Kyle,Stanback,6-6,260,0.8256
Javar,Strong,6-3,175,0.8650
Laurence,Sullivan,5-10,185,0.8100
Antoine,Sullivan,6-3,175,0.8006
Bryson,Summers,6-5,280,0.8300
Mana,Taimani,6-4.5,306,0.8722
Marquis,Taliulu,6-5,205,0.8711
Jake,Tarwater,6-4,230,0.8206
Vili,Taufatofua,6-4,260,0.8850
Nikko,Taylor,6-6,245,0.8794
Eric,Taylor,6-4,295,0.8675
Zeke,Thomas,6-4,200,0.8800
Jalik,Thomas,5-11,195,0.8156
Anterio,Thompson,6-2.5,295,0.8753
Ra'Quan,Thompson,6-3,270,0.8100
Matthew,Thornton,6-1,235,0.8304
Martin,Tine,6-7,315,0.8475
Ikani,Tuiono,6-3,295,0.7944
Wallace,Unamba,6-5,320,0.8337
Caleb,Walker,6-5,285,0.8567
Jonathan,Wallace,6-3,315,0.8300
Kai,Wallin,6-6,240,0.8539
Desna,Washington,6-4,215,0.8797
Terry,Webb,6-3,300,0.8550
Mason,White,6-0,180,0.8797
Will,Whitson,6-5,270,0.8450
Amaury,Wiggins,6-3,310,0.8600
Marcellus,Wilkerson,6-1,200,0.8442
Kelby,Williams,6-3,180,0.8200
Simon,Wilson,6-1,305,0.8100
Jack,Wilty,6-5,305,0.8614
Micah,Woods,6-0,175,0.8600
Ma'jon,Wright,6-3,200,0.8200
Rex,Wyhe,6-4,225,0.8694
Ryan,Wynn,6-3,255,0.8400
Jace,Yerty,6-5,247,0.8117
Trenton,Yowe,6-2,181,0.8156
