First,Last,Height,Weight,Score
Carl,Nesmith,6-4,220,0.8204
Julian,Nixon,6-3,235,0.8500
Ryan,Nolan,5-10,185,0.7894
Greg,Nunnery,6-4,315,0.8444
Dwight,Nunoo,6-1,220,0.8156
Michael,Nwokocha,6-4,290,0.8808
Pius,Odjugo,6-3,324,0.7833
JJ,Okate,6-2,220,0.8033
Mausa,Palu,6-4,325,0.7844
Cameron,Pascal,6-3,275,0.8192
Quardale,Patt,6-4,295,0.8467
Jeremiah,Patterson,5-10,178,0.7900
Kameron,Pearson,6-0,185,0.7906
Jared,Pele,6-3,310,0.8170
Christian,Perry,6-7,295,0.8056
Jaylen,Pettus,6-2,234,0.8383
Joshua,Pierre-Louis,5-11,175,0.8689
Khalil,Poteat,6-5,260,0.8500
Johno,Price,6-2,175,0.8400
Johno,Price,6-2,175,0.8400
Billy,Pullen,6-3,235,0.8106
Pau,Reed,6-4,255,0.8156
Tre,Richardson,5-10,165,0.8692
Jayven,Richardson,6-7,305,0.8794
Luther,Richesson,6-3,204,0.8183
Savion,Robinson,6-0,185,0.8200
Kajuan,Robinson,6-2,300,0.8300
Kristopher,Robinson,6-0,180,0.7800
Laquan,Robinson,6-2,195,0.8853
Max,Rodarte,6-0,180,0.7933
Maurice,Rodrigues,6-7,320,0.8778
Marcus,Ross,6-3,215,0.8500
Jarvis,Rush,6-4,185,0.8137
Danny,Saili,6-2,355,0.8812
August,Salvati,6-4,265,0.8600
Corey,Sandolph,6-2,205,0.8000
Jordan,Scruggs,5-11,185,0.8130
Shawn,Senatus,6-0,180,0.8378
Ashun,Shepphard,6-3,275,0.8633
K'Von,Sherman,6-3,225,0.8589
Kyri,Shoels,6-2,170,0.8000
Jerome,Simmons,6-4,333,0.8806
KD,Small,6-5,305,0.8283
Ozarrio,Smith,5-10,205,0.7894
Deion,Smith,6-4,190,0.9217
Ja'ir,Smith,6-1,183,0.8772
Dorrian,Smith,5-11,180,0.8022
Leland,Smith,6-5,205,0.8856
Jamal,Spiyee,6-0,185,0.8200
Noah,Staples,6-3,235,0.8170
Tyrane,Stewart,6-1,180,0.8478
JD,Stewart,6-1.5,230,0.8194
Jacob,Stewart,6-6,230,0.8292
Xavier,Stillman,6-3,305,0.8592
Eric,Stuart,6-2,220,0.8400
Eric,Stuart,6-2,220,0.8400
