First,Last,Height,Weight,Score
Easton,Mascarenas-Arnold,5-11,228,0.9100
Mikey,Matthews,5-10,180,0.9000
Eric,McAlister,6-4,200,0.8900
Grayson,McCall,6-3,220,0.9000
Cormani,McClain,6-2,165,0.9400
Jordan,McCloud,6-0,199,0.8900
Kyle,McCord,6-3,215,0.9100
Jermod,McCoy,6-0,180,0.9000
Tamarion,McDonald,6-2,208,0.9000
Jordan,McDonald,6-1,220,0.8900
Seth,McLaughlin,6-4,305,0.9000
Xzavier,McLeod,6-5,284,0.9100
Tobias,Merriweather,6-4,204,0.9000
Chamon,Metayer,6-5,248,0.9000
Dymere,Miller,6-0,180,0.9000
Kris,Mitchell,6-1,175,0.9100
Dante,Moore,6-3,210,0.9500
Trey,Moore,6-3,235,0.9300
Jabbar,Muhammad,5-10,183,0.9400
Andrew,Mukuba,6-0,195,0.9300
Shawn,Murphy,6-2,225,0.9100
Maalik,Murphy,6-5,238,0.9300
Malachi,Nelson,6-3,190,0.9100
Amari,Niblack,6-4,233,0.9300
Addison,Nichols,6-5,327,0.8900
Walter,Nolen,6-4,285,0.9900
RJ,Oben,6-4,260,0.9200
David,Ojiegbe,6-3,240,0.8900
Samuel,Okunlola,6-4,245,0.9200
LT,Overton,6-5,280,0.9300
Aeneas,Peebles,6-1,286,0.8900
John,Pius,6-2,235,0.9000
Jake,Pope,6-1,192,0.8900
Mishael,Powell,6-1,210,0.9000
Kadyn,Proctor,6-7,360,0.9900
Ephesians,Prysock,6-4,190,0.9000
Kamari,Ramsey,6-1,205,0.9200
Jaden,Rashada,6-4,185,0.9200
Marcus,Ratcliffe,6-3,210,0.9000
Mark,Redman,6-6,255,0.9000
Kedrick,Reescano,6-0,210,0.9100
Dezz,Ricks,6-1,182,0.9400
Chandler,Rogers,6-0,195,0.8900
Noah,Rogers,6-2,201,0.9300
Will,Rogers,6-2,215,0.9000
Kurtis,Rourke,6-5,231,0.9000
Cole,Rusk,6-6,252,0.9000
Carsen,Ryan,6-4,255,0.9000
Keon,Sabb,6-1,208,0.9200
Raheim,Sanders,6-2,242,0.9200
Elijah,Sarratt,6-2,207,0.9000
Don,Saunders,6-3,185,0.9000
Kobe,Savage,5-11,207,0.8900
Julian,Sayin,6-1,195,0.9800
Nic,Scourton,6-4,280,0.9400
Bauer,Sharp,6-5,245,0.9000
Will,Sheppard,6-3,200,0.9100
Dorian,Singer,6-0,180,0.9000
Joey,Slackman,6-4,300,0.9200
Darris,Smith,6-5,240,0.9000
Brendan,Sorsby,6-3,230,0.9000
Holden,Staes,6-4,242,0.9300
Evan,Stewart,6-0,175,0.9800
Kristian,Story,6-1,211,0.8900
AJ,Swann,6-3,228,0.8900
Jakobe,Thomas,6-1,198,0.8900
Zavion,Thomas,5-11,190,0.9000
Chip,Trayanum,5-11,233,0.9000
Chris,Tyree,5-10,179,0.8900
DJ,Uiagalelei,6-4,251,0.9100
Princely,Umanmielen,6-4,255,0.9400
Sebastian,Valdez,6-3,284,0.9000
Brock,Vandagriff,6-3,205,0.9300
Jack,Velling,6-4,241,0.9000
Rico,Walker,6-4,248,0.9000
Cam,Ward,6-2,223,0.9400
Jordan,Washington,5-11,180,0.9000
Jordan,Waters,6-0,219,0.9100
Tre,Watson,6-5,245,0.8900
Jayden,Wayne,6-6,245,0.9100
LaJohntay,Wester,5-11,167,0.8900
Quency,Wiggins,6-5,265,0.9200
Mario,Williams,5-9,175,0.9000
Damonic,Williams,6-2,320,0.9100
Scooby,Williams,6-2,230,0.9000
Roydell,Williams,5-10,214,0.9100
Tyler,Williams,6-3,205,0.9100
Anthony,Woods,5-11,185,0.8900
Caiden,Woullard,6-5,252,0.9300
Dae'Quan,Wright,6-4,249,0.9000
Colbie,Young,6-5,215,0.9300
Ben,Yurosek,6-4,242,0.9000
Jason,Zandamela,6-3,306,0.9700
