First,Last,Height,Weight,Score
DJ,McKinney,6-2,180,0.9100
Kobie,McKinzie,6-2,236,0.9000
Darian,Mensah,6-3,205,0.9400
Drew,Mestemaker,6-4,211,0.9800
Braden,Miller,6-6,315,0.8800
Dre'lon,Miller,6-1,200,0.8800
Omarion,Miller,6-2,210,0.9500
Kenny,Minchey,6-2,208,0.9200
Aidan,Mizell,6-1,185,0.9000
Salesi,Moa,6-1,190,0.9000
Elo,Modozie,6-4,248,0.9200
Adam,Mohammed,6-0,220,0.9200
London,Montgomery,5-11,197,0.8900
Terry,Moore,6-1,200,0.9000
Kamauryn,Morgan,6-5,251,0.9100
Theo,Ohrstrom,6-6,257,0.9000
Emmanuel,Olagbaju,6-3,295,0.8800
Sammy,Omosigho,6-1,235,0.9100
Tobi,Osunsanmi,6-3,250,0.9400
Emmanuel,Oyebadejo,6-7,295,0.8800
Jacarrius,Peak,6-4,285,0.9400
Braden,Pegan,6-3,210,0.9200
James,Peoples,5-10,206,0.8800
Koi,Perich,6-1,200,0.9500
Aaron,Philo,6-2,220,0.8900
Emmanuel,Poku,6-5,326,0.8800
Quincy,Porter,6-4,210,0.9400
Beau,Pribula,6-2,212,0.8900
Coleton,Price,6-3,318,0.9400
Hunter,Provience,6-5,245,0.8900
Blake,Purchase,6-3,245,0.9200
Dylan,Raiola,6-3,230,0.9400
Stanton,Ramil,6-7,312,0.8800
Jordan,Renaud,6-4,265,0.9200
Luke,Reynolds,6-4,253,0.9400
Turbo,Richard,5-8,207,0.8800
Tre,Richardson,5-10,175,0.9300
Shamar,Rigby,6-3,190,0.8800
Riley,Robell,6-3,291,0.8800
D'Antre,Robinson,6-4,315,0.8900
Noah,Rogers,6-2,197,0.9000
Jordan,Ross,6-5,245,0.9300
Cole,Rusk,6-5,250,0.9100
Qua,Russaw,6-2,243,0.9300
Anto,Saka,6-4,255,0.9200
Jayden,Sanders,6-1,193,0.9200
Flynn,Schiele,6-4,210,0.9000
Jordan,Seaton,6-5,330,0.9800
Melvin,Siani,6-6,302,0.9400
Jo,Simmons,6-5,322,0.8800
Austin,Simmons,6-4,215,0.9300
Malcolm,Simmons,6-0,186,0.9000
Yannick,Smith,6-3,207,0.9200
James,Smith,6-3,297,0.9600
Hollywood,Smothers,5-11,195,0.9400
Smith,Snowden,5-10,185,0.9300
Brendan,Sorsby,6-3,235,0.9800
Chase,Sowell,6-3,210,0.9300
Boaz,Stanley,6-4,310,0.8800
Jacob,Strand,6-5,302,0.8800
Ian,Strong,6-3,211,0.9200
Taylor,Tatum,5-10,212,0.8800
Dorian,Thomas,6-4,239,0.9000
Devan,Thompkins,6-5,285,0.9400
Perry,Thompson,6-3,220,0.9000
Jalen,Thompson,6-3,260,0.8900
Omar,Thornton,5-11,201,0.9200
Jelani,Thurman,6-6,250,0.8900
Joshisa,Trader,6-1,182,0.8800
Adam,Trick,6-4,249,0.9000
Tegra,Tshabola,6-6,322,0.9200
Cade,Uluave,6-1,235,0.9300
Princewill,Umanmielen,6-5,245,0.9800
Alex,VanSumeren,6-3,300,0.8900
Cam,Vaughn,6-2,185,0.9000
Raiden,Vines-Bright,6-1,200,0.8900
Jordan,Washington,6-4,264,0.8800
Bryson,Washington,6-0,216,0.9200
Hunter,Welcing,6-3,250,0.9300
Sahir,West,6-4,270,0.8800
Hosea,Wheeler,6-3,298,0.9200
Javion,White,5-10,190,0.8800
Amaris,Williams,6-2,260,0.9400
Bryant,Williams,6-7,315,0.9300
Jontez,Williams,5-11,200,0.9300
Amaree,Williams,6-4,236,0.8800
Zion,Wilson,6-3,318,0.8800
Quintrevion,Wisner,6-0,194,0.9300
Cade,Wolford,5-10,190,0.9000
Da'Shawn,Womack,6-5,265,0.9200
Luke,Work,6-6,315,0.8900
Wyatt,Young,6-0,195,0.9300
